shipment_id,warehouse_id,region_id,carrier_id,shipment_cost,delivery_status,is_fragile,shipment_date,delivery_date,package_weight_kg,declared_value_inr,payment_type,priority_level,created_ts,delivery_days
L9575,W13,R08,C12,1425.4,Delayed,N,2025-12-06,2025-12-11,11.53,14916,Prepaid,Standard,2025-12-06 07:40:00,
L7944,W15,R07,C05,1435.08,Delivered,N,2025-12-06,2025-12-10,8.17,16585,Prepaid,Standard,2025-12-06 07:44:00,
L9515,W01,R01,C04,731.74,Delivered,N,2025-12-06,2025-12-10,23.06,19434,Prepaid,Express,2025-12-06 08:00:00,
L8990,W15,R07,C10,287.49,Delivered,N,2025-12-06,2025-12-06,17.85,25336,COD,Standard,2025-12-06 08:15:00,
L8653,W20,R04,C07,464.71,Delayed,N,2025-12-06,2025-12-15,7.53,19510,Prepaid,Standard,2025-12-06 08:42:00,
L9018,W38,R06,C03,504.61,Delivered,N,2025-12-06,2025-12-12,15.73,24703,Prepaid,Standard,2025-12-06 09:01:00,
L7682,W39,R06,C08,722.83,Delivered,N,2025-12-06,2025-12-08,17.88,6894,Prepaid,Express,2025-12-06 09:29:00,
L8112,W17,R08,C08,980.53,Delivered,Y,2025-12-05,2025-12-07,3.81,5602,COD,Express,2025-12-06 09:32:00,
L7196,W40,R03,C13,369.48,Delivered,Y,2025-12-06,2025-12-13,7.8,10363,COD,Standard,2025-12-06 09:42:00,
L9950,W37,R08,C04,1003.13,Delayed,Y,2025-12-06,2025-12-14,17.22,13465,Prepaid,Express,2025-12-06 09:50:00,
L9220,W07,R04,C04,583.23,Delivered,Y,2025-12-06,2025-12-08,27.55,12189,Prepaid,Standard,2025-12-06 09:54:00,
L9324,W26,R04,C13,540.87,Delivered,N,2025-12-06,2025-12-12,14.97,12813,COD,Standard,2025-12-06 10:32:00,
L9857,W18,R07,C01,1367.39,Delivered,N,2025-12-06,2025-12-07,10.54,9113,COD,Standard,2025-12-06 10:35:00,
L9162,W07,R04,C07,420.67,Delivered,N,2025-12-06,2025-12-12,21.68,11797,COD,Standard,2025-12-06 11:07:00,
L9923,W27,R05,C03,623.47,Delivered,N,2025-12-06,2025-12-09,17.26,10238,COD,Express,2025-12-06 11:22:00,
L8293,W22,R01,C04,755.62,Delivered,N,2025-12-06,2025-12-11,7.9,8477,Prepaid,Express,2025-12-06 11:31:00,
L9155,W03,R05,C06,7052.72,Delivered,N,2025-12-06,2025-12-06,4.88,19323,Prepaid,Express,2025-12-06 12:12:00,
L7334,W32,R03,C04,376.53,Delivered,N,2025-12-06,2025-12-09,9.61,21313,Credit,Standard,2025-12-06 12:26:00,
L7162,W21,R07,C06,1332.1,Delivered,Y,2025-12-06,2025-12-07,18.37,8585,Prepaid,SameDay,2025-12-06 12:46:00,
L7883,W07,R04,C06,453.34,Delivered,N,2025-12-06,2025-12-08,24.51,10193,Prepaid,Standard,2025-12-06 12:47:00,
L8421,W16,R02,C02,326.83,Delivered,N,2025-12-06,2025-12-10,9.48,6294,Prepaid,Standard,2025-12-06 12:51:00,
L9621,W07,R04,C14,815.52,Delivered,Y,2025-12-06,2025-12-09,6.57,11228,COD,Standard,2025-12-06 12:51:00,
L9151,W07,R04,,827.43,Delivered,N,2025-12-06,2025-12-07,4.53,27536,COD,Standard,2025-12-06 13:03:00,
L9794,W36,R06,C03,769.11,Delivered,N,2025-12-06,2025-12-07,10.41,10167,Prepaid,Standard,2025-12-06 13:07:00,
L7948,W29,R08,C02,599.56,Delivered,Y,2025-12-06,,7.29,12380,Prepaid,Express,2025-12-06 13:09:00,
L9508,W38,R06,C08,592.04,Delivered,Y,2025-12-06,2025-12-12,19.05,21854,Credit,Express,2025-12-06 13:23:00,
L7658,W08,R05,C08,930.75,Delayed,N,2025-12-06,2025-12-13,13.85,15220,Prepaid,Standard,2025-12-06 13:24:00,
L9383,W26,R04,C04,586.22,Delivered,N,2025-12-06,2025-12-07,18.73,22900,Prepaid,Standard,2025-12-06 14:04:00,
L9710,W08,R05,C04,364.87,Delivered,N,2025-12-06,2025-12-11,22.09,10266,COD,Standard,2025-12-06 14:30:00,
L9045,W25,R04,C04,547.82,Failed,N,2025-12-06,,21.52,10056,Prepaid,Express,2025-12-06 14:43:00,
L9583,W12,R04,C12,1282.72,Delivered,N,2025-12-06,2025-12-09,7.3,23150,Prepaid,Standard,2025-12-06 14:57:00,
L8202,W04,R07,C13,5992.3,Delayed,N,2025-12-06,2025-12-14,10.9,10431,COD,Standard,2025-12-06 15:03:00,
L9631,W21,R07,C01,554.53,Delayed,N,2025-12-06,2025-12-08,20.3,19500,Prepaid,Express,2025-12-06 15:29:00,
L9580,W16,R02,C09,793.58,Delivered,N,2025-12-06,2025-12-12,11.47,25848,COD,Express,2025-12-06 15:46:00,
L7876,W19,R04,C14,504.82,Delivered,Y,2025-12-06,2025-12-10,16.13,15668,Credit,Standard,2025-12-06 16:16:00,
L7293,W34,R04,C03,849.39,Delivered,Y,2025-12-06,2025-12-10,16.97,770,Prepaid,Standard,2025-12-06 16:25:00,
L7474,W37,R08,C10,612.86,Delivered,N,2025-12-06,2025-12-07,15.86,11064,COD,Standard,2025-12-06 16:27:00,
L7473,W10,R03,C06,1236.78,Delivered,N,2025-12-06,2025-12-06,13.28,38885,Prepaid,Express,2025-12-06 17:04:00,
L9964,W04,R07,C01,988.78,Delayed,Y,2025-12-06,2025-12-10,14.35,14435,COD,Standard,2025-12-06 17:17:00,
L9699,W05,R05,C09,714.2,Delivered,N,2025-12-06,2025-12-10,8.04,3357,Prepaid,Standard,2025-12-06 17:25:00,
L9952,W35,R01,C06,1074.86,Delivered,N,2025-12-06,2025-12-10,16.19,20321,Prepaid,Standard,2025-12-06 17:41:00,
L9444,W26,R04,C08,6332.32,Delivered,N,2025-12-06,2025-12-10,8.3,20734,COD,Standard,2025-12-06 17:57:00,
L8873,W10,R03,C02,9346.9,Delivered,N,2025-12-06,2025-12-07,11.0,7912,COD,Standard,2025-12-06 18:13:00,
L8568,W05,R05,C10,551.98,Failed,N,2025-12-06,,13.51,14457,COD,SameDay,2025-12-06 18:28:00,
L7963,W30,R04,C07,455.1,Delayed,N,2025-12-06,2025-12-12,13.71,2993,Prepaid,Standard,2025-12-06 18:32:00,
L7608,W24,R04,C11,595.97,Delivered,N,2025-12-06,2025-12-14,24.19,18174,COD,Standard,2025-12-06 18:39:00,
L7763,W06,R08,C14,376.56,Delivered,N,2025-12-06,2025-12-08,12.9,14453,COD,Standard,2025-12-06 18:40:00,
L8115,W15,R07,C03,789.13,Delayed,N,2025-12-06,2025-12-14,13.36,14602,Credit,Standard,2025-12-06 18:47:00,
L9098,W10,R03,C14,475.72,Delivered,N,2025-12-06,2025-12-10,13.74,21556,COD,Standard,2025-12-06 18:47:00,
L8841,W37,R08,C03,627.19,Delayed,N,2025-12-06,2025-12-13,10.18,23415,Prepaid,Standard,2025-12-06 19:51:00,
L9966,W16,R02,C02,,Delayed,N,2025-12-06,2025-12-12,17.25,34080,Prepaid,SameDay,2025-12-06 20:00:00,
L9585,W24,R04,C01,2091.48,Delivered,Y,2025-12-06,2025-12-07,16.27,23448,Prepaid,Express,2025-12-06 20:00:00,
L8203,W36,R06,C10,800.31,Delayed,N,2025-12-06,2025-12-12,18.95,11158,Prepaid,Standard,2025-12-06 20:17:00,
L7885,W12,R04,C02,869.57,Failed,N,2025-12-06,,13.03,13482,Prepaid,Standard,2025-12-06 20:18:00,
L8304,W31,R07,C01,1360.45,Delivered,N,2025-12-06,2025-12-07,10.33,14791,Prepaid,Standard,2025-12-06 20:30:00,
L7023,W07,R04,C01,1343.55,Delivered,Y,2025-12-06,2025-12-06,10.83,18756,Prepaid,Express,2025-12-06 20:35:00,
L9248,W29,R08,C02,4209.6,Delivered,N,2025-12-06,2025-12-11,14.9,11753,COD,Standard,2025-12-06 20:42:00,
L8821,W18,R07,C02,536.7,Delivered,N,2025-12-06,2025-12-11,16.72,18864,COD,Standard,2025-12-06 20:44:00,
L9822,W06,R08,C03,1118.99,Delivered,Y,2025-12-06,2025-12-10,12.31,11527,Credit,Standard,2025-12-06 21:20:00,
L9281,W17,R08,C05,1195.12,Delayed,N,2025-12-06,2025-12-12,14.99,2053,Prepaid,Express,2025-12-06 21:55:00,
L9067,W01,R01,C04,608.81,Delivered,N,2025-12-06,2025-12-10,19.43,22199,Credit,Standard,2025-12-06 22:05:00,
L7405,W39,R06,C10,639.19,Delivered,N,2025-12-06,2025-12-09,0.2,8540,COD,Express,2025-12-06 22:09:00,
L8917,W20,R04,C11,1191.66,Delivered,N,2025-12-06,2025-12-16,17.37,4372,Prepaid,Express,2025-12-06 22:19:00,
L7032,W20,R04,C09,4947.2,Delivered,N,2025-12-06,2025-12-13,9.24,31406,Credit,Express,2025-12-06 22:24:00,
L8557,W23,R03,C04,722.95,Delivered,Y,2025-12-06,2025-12-11,15.73,23362,Prepaid,Standard,2025-12-06 22:34:00,
L8699,W08,R05,C13,611.57,Delivered,Y,2025-12-06,2025-12-13,11.57,22381,Prepaid,Standard,2025-12-06 22:41:00,
L7239,W21,R07,C04,637.68,Delivered,N,2025-12-06,2025-12-10,13.22,11832,COD,Standard,2025-12-06 22:46:00,
L9511,W31,R07,C08,843.27,Delayed,Y,2025-12-06,2025-12-13,8.59,9946,Prepaid,SameDay,2025-12-06 23:09:00,
L7802,W21,R07,C07,630.78,Delivered,N,2025-12-06,2025-12-13,7.66,21630,Credit,Standard,2025-12-06 23:29:00,
L8409,W25,R04,C11,1001.15,Delivered,Y,2025-12-06,2025-12-17,10.57,12301,COD,Standard,2025-12-06 23:30:00,
L8661,W34,R04,C01,681.9,Delayed,N,2025-12-06,2025-12-11,2.2,11186,Prepaid,Express,2025-12-06 23:31:00,
L9867,W28,R05,C07,407.39,Delivered,N,2025-12-06,2025-12-12,13.99,24688,Prepaid,Express,2025-12-06 23:31:00,
L9819,W08,R05,C03,728.33,Delayed,N,2025-12-06,2025-12-13,8.8,16680,COD,Standard,2025-12-06 23:31:00,
L8656,W09,R02,C08,394.43,Delivered,Y,2025-12-06,2025-12-10,0.2,13026,Credit,Standard,2025-12-06 23:46:00,
L7431,W23,R03,C06,1721.26,Delivered,N,2025-12-06,2025-12-08,16.28,500,COD,Standard,2025-12-06 23:58:00,
L8964,W04,R07,C04,771.54,Delayed,N,2025-12-07,2025-12-14,19.45,18930,Prepaid,Express,2025-12-07 00:24:00,
L7642,W05,R05,C03,255.91,Delayed,N,2025-12-07,2025-12-11,1.52,22263,Prepaid,Standard,2025-12-07 00:38:00,
L8699,W08,R05,C13,588.2700000000001,Delivered,Y,2025-12-06,2025-12-13,11.57,22381,Prepaid,Standard,2025-12-07 00:41:00,
L7734,W16,R02,C03,848.43,Delayed,Y,2025-12-07,2025-12-16,22.47,36512,Prepaid,Express,2025-12-07 01:03:00,
L7505,W13,R08,C14,1142.0,Delivered,Y,2025-12-07,2025-12-11,7.45,7592,Prepaid,Standard,2025-12-07 01:11:00,
L8480,W18,R07,C03,801.47,Delivered,N,2025-12-07,2025-12-13,11.37,500,Prepaid,Standard,2025-12-07 01:49:00,
L8165,W21,R07,C09,347.2,Delivered,N,2025-12-07,2025-12-11,2.82,18411,COD,Standard,2025-12-07 01:53:00,
L9922,W37,R08,C13,540.97,Delayed,N,2025-12-07,2025-12-15,14.65,21148,COD,Standard,2025-12-07 02:03:00,
L9849,W24,R04,,478.14,Delivered,N,2025-12-07,2025-12-12,14.48,8343,Prepaid,Standard,2025-12-07 02:04:00,
L8758,W37,R08,C08,828.01,Delivered,Y,2025-12-07,2025-12-09,16.14,18837,Prepaid,Express,2025-12-07 02:06:00,
L7673,W21,R07,C02,702.95,Delivered,N,2025-12-07,2025-12-08,7.82,9321,COD,Standard,2025-12-07 02:21:00,
L8027,W14,R08,C07,316.68,Delivered,N,2025-12-07,2025-12-10,17.12,648,Prepaid,Standard,2025-12-07 02:43:00,
L9435,W22,R01,C06,1671.06,Delivered,N,2025-12-07,2025-12-11,14.46,25341,Prepaid,Express,2025-12-07 02:45:00,
L9517,W18,R07,C02,642.42,Delivered,N,2025-12-07,2025-12-10,8.54,32224,Prepaid,Express,2025-12-07 02:56:00,
L7133,W02,R04,C10,543.88,Delivered,N,2025-12-07,2025-12-08,15.5,20449,Prepaid,Standard,2025-12-07 03:25:00,
L7882,W20,R04,C02,609.61,Delivered,N,2025-12-07,2025-12-11,2.84,11382,Prepaid,Standard,2025-12-07 04:48:00,
L9640,W27,R05,C02,652.24,Delayed,Y,2025-12-07,2025-12-13,15.0,12835,Prepaid,Standard,2025-12-07 05:10:00,
L7434,W39,R06,C02,765.32,Delivered,N,2025-12-07,2025-12-11,0.2,16503,Prepaid,Standard,2025-12-07 05:41:00,
L8647,W17,R08,C06,949.0,Delivered,N,2025-12-07,2025-12-11,16.51,14583,Prepaid,Standard,2025-12-07 05:42:00,
L8244,W06,R08,C06,1867.07,Delayed,Y,2025-12-07,2025-12-08,11.8,15623,Prepaid,Standard,2025-12-07 06:12:00,
L8249,W35,R01,C14,505.86,Delivered,N,2025-12-07,2025-12-10,9.87,14642,COD,Standard,2025-12-07 06:47:00,
L9085,W17,R08,C07,496.85,Delivered,Y,2025-12-07,2025-12-14,4.4,20490,Prepaid,Standard,2025-12-07 07:15:00,
L8426,W08,R05,C01,1037.81,Delivered,N,2025-12-07,2025-12-10,14.09,9463,Prepaid,Standard,2025-12-07 07:32:00,
L9644,W13,R08,C03,527.1,Delivered,N,2025-12-07,2025-12-12,10.77,11364,Prepaid,Standard,2025-12-07 07:49:00,
L9951,W16,R02,C12,1384.16,Delivered,N,2025-12-07,2025-12-10,4.32,9948,Prepaid,Express,2025-12-07 07:54:00,
L9706,W12,R04,C08,913.27,Delayed,N,2025-12-07,2025-12-17,4.01,16319,Prepaid,Standard,2025-12-07 08:02:00,
L9413,W27,R05,C02,752.88,Failed,N,2025-12-07,,26.23,17734,COD,Standard,2025-12-07 08:07:00,
L9232,W01,R01,C09,490.34,Delivered,N,2025-12-07,2025-12-14,24.08,4067,Prepaid,Express,2025-12-07 08:08:00,
L7423,W17,R08,C07,640.8,Delivered,N,2025-12-07,2025-12-15,0.2,11839,COD,Standard,2025-12-07 08:18:00,
L7337,W17,R08,C07,396.5,Delivered,N,2025-12-07,2025-12-06,17.33,2664,Prepaid,Standard,2025-12-07 10:14:00,
L7109,W35,R01,C08,655.56,Delayed,Y,2025-12-07,2025-12-10,10.73,21412,COD,Standard,2025-12-07 10:24:00,
L9323,W27,R05,C03,511.3,Delivered,N,2025-12-07,2025-12-13,21.51,3539,Prepaid,Standard,2025-12-07 10:36:00,
L9738,W25,R04,C01,,Delivered,Y,2025-12-07,2025-12-07,18.96,16615,Prepaid,Standard,2025-12-07 10:51:00,
L9609,W12,R04,C12,1179.2,Delayed,N,2025-12-07,2025-12-14,1.62,19631,Prepaid,Express,2025-12-07 11:54:00,
L8315,W18,R07,C01,1222.71,Delivered,N,2025-12-07,2025-12-09,12.28,10871,Credit,Standard,2025-12-07 11:57:00,
L8759,W38,R06,C07,737.82,Delayed,Y,2025-12-07,2025-12-16,7.71,26121,COD,Standard,2025-12-07 12:24:00,
L9967,W25,R04,C01,822.09,Delivered,N,2025-12-07,2025-12-07,10.17,12359,Prepaid,Express,2025-12-07 12:40:00,
L8282,W21,R07,C02,676.14,Delivered,N,2025-12-07,2025-12-10,5.42,11424,Credit,Standard,2025-12-07 12:44:00,
L7855,W21,R07,C02,644.98,Delivered,N,2025-12-07,2025-12-10,9.58,4390,Prepaid,Standard,2025-12-07 12:53:00,
L9164,W33,R08,C02,,Delivered,N,2025-12-07,2025-12-09,6.88,5286,Prepaid,Standard,2025-12-07 13:19:00,
L9473,W12,R04,C03,701.71,Delivered,N,2025-12-07,2025-12-08,9.94,18085,Prepaid,Standard,2025-12-07 13:54:00,
L9244,W08,R05,C04,494.69,Delayed,N,2025-12-07,2025-12-14,14.81,14119,Prepaid,Standard,2025-12-07 13:54:00,
L9240,W11,R07,C12,995.8,Delivered,N,2025-12-07,2025-12-07,3.89,22544,COD,Standard,2025-12-07 14:11:00,
L8307,W04,R07,C02,955.3399999999999,Delayed,Y,2025-12-05,2025-12-12,16.36,18066,COD,Express,2025-12-07 15:06:00,
L7256,W02,R04,C12,670.04,Delivered,N,2025-12-07,2025-12-08,8.22,10574,COD,Standard,2025-12-07 15:10:00,
L8515,W28,R05,C03,766.1,Delivered,N,2025-12-07,2025-12-13,8.0,7675,Prepaid,SameDay,2025-12-07 15:26:00,
L7396,W30,R04,C14,322.8,Delayed,N,2025-12-07,2025-12-13,6.75,10642,Credit,Standard,2025-12-07 15:36:00,
L9011,W15,R07,C01,2000.75,Delivered,N,2025-12-07,2025-12-08,0.2,23402,Prepaid,Standard,2025-12-07 15:40:00,
L8352,W39,R06,C02,16220.76,Delivered,Y,2025-12-07,2025-12-09,3.98,10583,Prepaid,Standard,2025-12-07 15:47:00,
L8710,W14,R08,C05,1932.55,Delivered,N,2025-12-07,2025-12-08,17.96,30125,Prepaid,Express,2025-12-07 15:57:00,
L9119,W13,R08,C05,671.24,Delayed,N,2025-12-07,2025-12-12,11.92,7862,COD,Standard,2025-12-07 15:57:00,
L9372,W40,R03,C12,781.06,Delivered,N,2025-12-07,2025-12-07,10.13,17775,Credit,Standard,2025-12-07 16:05:00,
L9047,W10,R03,C13,375.7,Delivered,N,2025-12-07,2025-12-11,13.14,6150,Prepaid,Standard,2025-12-07 16:33:00,
L8510,W21,R07,C02,695.46,Delivered,N,2025-12-07,2025-12-11,21.38,28153,Prepaid,Standard,2025-12-07 16:40:00,
L8566,W08,R05,C13,447.27,Delivered,N,2025-12-07,2025-12-10,16.37,3223,Prepaid,Standard,2025-12-07 16:46:00,
L9684,W07,R04,C08,742.94,Delivered,Y,2025-12-07,2025-12-09,13.22,4121,Credit,Express,2025-12-07 16:57:00,
L8609,W35,R01,C08,753.83,Delivered,N,2025-12-07,2025-12-12,5.71,18257,Prepaid,Express,2025-12-07 16:58:00,
L7746,W28,R05,C06,2232.93,Delivered,Y,2025-12-07,2025-12-11,10.52,16865,COD,Standard,2025-12-07 17:06:00,
L9069,W07,R04,C08,748.11,Delayed,Y,2025-12-07,2025-12-11,16.8,19554,COD,Standard,2025-12-07 17:16:00,
L7096,W32,R03,C04,647.05,Delivered,Y,2025-12-07,2025-12-12,6.8,10370,Prepaid,Standard,2025-12-07 17:25:00,
L9128,W30,R04,C04,563.63,Delivered,N,2025-12-07,2025-12-10,10.79,22849,COD,Standard,2025-12-07 17:34:00,
L9788,W04,R07,C02,658.82,Delivered,N,2025-12-07,2025-12-12,9.82,32747,Prepaid,Standard,2025-12-07 18:14:00,
L9670,W36,R06,C03,442.93,Delivered,N,2025-12-07,,5.79,16954,Prepaid,Standard,2025-12-07 19:22:00,
L8125,W20,R04,C08,485.69,Delayed,N,2025-12-07,2025-12-11,5.38,20366,COD,Standard,2025-12-07 19:23:00,
L9859,W16,R02,C15,,Delivered,Y,2025-12-07,2025-12-10,9.35,21652,Prepaid,Express,2025-12-07 19:25:00,
L8134,W39,R06,C02,553.92,Delayed,N,2025-12-07,2025-12-15,17.36,14944,COD,Standard,2025-12-07 19:38:00,
L9949,W32,R03,C05,1504.17,Delivered,N,2025-12-07,2025-12-10,17.39,20600,COD,Standard,2025-12-07 19:39:00,
L8642,W39,R06,C05,2147.97,Delivered,Y,2025-12-07,2025-12-07,9.39,2610,COD,Express,2025-12-07 19:45:00,
L8886,W11,R07,C03,552.15,Delivered,N,2025-12-07,2025-12-09,10.28,23505,Prepaid,Standard,2025-12-07 19:55:00,
L9504,W17,R08,C08,394.33,Delayed,Y,2025-12-07,2025-12-15,10.36,25624,Prepaid,Express,2025-12-07 20:22:00,
L9214,W33,R08,C05,1409.34,Delivered,N,2025-12-07,2025-12-10,15.01,500,Credit,Standard,2025-12-07 21:04:00,
L8273,W40,R03,C02,772.52,Delivered,Y,2025-12-07,,12.67,1541,Prepaid,Standard,2025-12-07 21:15:00,
L9543,W17,R08,C10,470.42,Delivered,N,2025-12-07,2025-12-09,23.05,14548,Prepaid,Standard,2025-12-07 21:42:00,
L7182,W40,R03,C10,443.16,Delivered,N,2025-12-07,2025-12-07,13.17,500,Prepaid,Standard,2025-12-07 21:44:00,
L7842,W32,R03,C15,1517.08,Delivered,N,2025-12-07,2025-12-09,15.33,16688,COD,Express,2025-12-07 21:48:00,
L9535,W13,R08,C02,399.61,Delayed,N,2025-12-07,2025-12-14,15.33,11449,Prepaid,Standard,2025-12-07 22:04:00,
L9266,W08,R05,C03,663.12,Delivered,N,2025-12-07,2025-12-11,9.28,11387,COD,Standard,2025-12-07 22:05:00,
L9130,W14,R08,C06,1637.11,Delivered,N,2025-12-07,2025-12-11,12.31,15252,COD,Standard,2025-12-07 22:10:00,
L9293,W31,R07,C02,589.49,Delayed,N,2025-12-07,2025-12-11,14.23,8828,Credit,Standard,2025-12-07 22:39:00,
L9799,W22,R01,C03,,Delivered,N,2025-12-07,2025-12-12,20.7,22431,Prepaid,Standard,2025-12-07 22:52:00,
L8945,W09,R02,C01,730.14,Delivered,N,2025-12-07,2025-12-07,6.33,23398,Prepaid,Express,2025-12-07 23:06:00,
L8674,W29,R08,C02,516.87,Delivered,N,2025-12-08,2025-12-11,7.33,7078,Prepaid,Standard,2025-12-08 00:13:00,
L8979,W20,R04,C04,798.72,Delayed,N,2025-12-08,2025-12-15,11.64,25588,COD,Standard,2025-12-08 00:43:00,
L9023,W29,R08,C01,1654.96,Delivered,Y,2025-12-08,2025-12-08,3.73,26370,Prepaid,SameDay,2025-12-08 00:56:00,
L9854,W37,R08,C08,6594.48,Delayed,N,2025-12-08,2025-12-15,11.78,1670,Prepaid,Standard,2025-12-08 01:07:00,
L7703,W29,R08,C03,678.01,Delivered,Y,2025-12-08,2025-12-14,15.86,16644,Credit,Standard,2025-12-08 01:10:00,
L8622,W30,R04,C08,687.8,Delivered,N,2025-12-08,2025-12-14,8.36,20615,Prepaid,Express,2025-12-08 01:14:00,
L9116,W16,R02,C10,1058.31,Delivered,Y,2025-12-08,2025-12-10,4.66,12300,COD,Standard,2025-12-08 01:17:00,
L8333,W01,R01,C06,1106.3,Delayed,N,2025-12-08,2025-12-10,12.25,19184,Credit,Express,2025-12-08 01:26:00,
L9378,W24,R04,C03,560.2,Failed,N,2025-12-08,,22.54,17359,Prepaid,Express,2025-12-08 01:40:00,
L8077,W30,R04,C09,1364.33,Failed,Y,2025-12-08,,11.55,10354,Credit,Express,2025-12-08 02:19:00,
L7601,W36,R06,C11,786.78,Delivered,N,2025-12-08,2025-12-17,10.71,13587,COD,Standard,2025-12-08 02:24:00,
L8172,W05,R05,C12,1323.36,Delivered,N,2025-12-08,2025-12-08,11.22,11866,Prepaid,Standard,2025-12-08 02:54:00,
L8556,W15,R07,C02,608.46,Delivered,N,2025-12-08,2025-12-09,2.86,500,COD,Express,2025-12-08 03:23:00,
L9652,W40,R03,C04,828.77,Delivered,N,2025-12-08,2025-12-13,6.5,8056,COD,Standard,2025-12-08 03:29:00,
L7363,W40,R03,C12,,Delivered,N,2025-12-08,2025-12-08,5.65,16550,Prepaid,Standard,2025-12-08 03:33:00,
L7338,W07,R04,C01,1261.65,Delivered,N,2025-12-08,2025-12-08,0.2,9989,Prepaid,Standard,2025-12-08 03:37:00,
L8430,W20,R04,C04,452.1,Delivered,N,2025-12-08,2025-12-13,11.44,18407,Prepaid,Standard,2025-12-08 03:42:00,
L7280,W14,R08,C09,844.54,Delivered,N,2025-12-08,2025-12-15,14.83,500,Prepaid,Standard,2025-12-08 04:32:00,
L7877,W05,R05,C05,1817.91,Delayed,Y,2025-12-08,2025-12-14,6.84,10233,Credit,Standard,2025-12-08 04:37:00,
L8156,W29,R08,C15,263.05,Delivered,N,2025-12-08,2025-12-09,14.22,500,Prepaid,Standard,2025-12-08 04:39:00,
L9970,W07,R04,C02,472.84,Delayed,Y,2025-12-08,2025-12-12,13.46,6986,COD,Standard,2025-12-08 04:58:00,
L9980,W26,R04,C14,571.68,Delivered,Y,2025-12-08,2025-12-13,13.97,30453,Prepaid,Standard,2025-12-08 05:42:00,
L8195,W13,R08,C08,,Delivered,N,2025-12-08,2025-12-12,12.7,7975,Prepaid,Standard,2025-12-08 05:53:00,
L7689,W03,R05,C02,694.93,Delivered,N,2025-12-08,2025-12-08,10.57,14961,Prepaid,Standard,2025-12-08 05:55:00,
L8712,W18,R07,C02,859.58,Delayed,N,2025-12-08,2025-12-14,6.87,8568,COD,Standard,2025-12-08 06:22:00,
L8058,W33,R08,C15,1358.28,Delivered,N,2025-12-08,2025-12-09,14.02,19766,Prepaid,Standard,2025-12-08 06:39:00,
L7602,W09,R02,C09,550.64,Delivered,N,2025-12-08,2025-12-12,15.62,16199,Prepaid,Standard,2025-12-08 06:43:00,
L9262,W32,R03,C03,445.42,Delivered,N,2025-12-08,2025-12-08,28.32,20922,Prepaid,Standard,2025-12-08 06:53:00,
L9831,W19,R04,C03,834.58,Delivered,N,2025-12-08,2025-12-12,24.87,6688,Prepaid,Standard,2025-12-08 07:18:00,
L7695,W26,R04,C10,548.7,Delivered,N,2025-12-08,2025-12-11,9.44,20911,COD,Standard,2025-12-08 07:24:00,
L7154,W37,R08,C14,600.28,Delivered,Y,2025-12-08,2025-12-13,18.51,10540,COD,Standard,2025-12-08 07:27:00,
L8588,W14,R08,C04,786.88,Delayed,N,2025-12-08,2025-12-18,3.31,15575,Prepaid,Express,2025-12-08 07:38:00,
L8035,W24,R04,C05,1222.14,Delayed,N,2025-12-08,2025-12-12,21.68,15743,COD,Standard,2025-12-08 07:43:00,
L9063,W14,R08,C01,1572.86,Delivered,N,2025-12-08,2025-12-08,15.33,11188,Credit,Standard,2025-12-08 08:20:00,
L8849,W33,R08,C03,995.01,Delivered,N,2025-12-08,2025-12-12,8.97,22773,COD,Express,2025-12-08 08:43:00,
L8587,W35,R01,C05,1676.79,Delayed,N,2025-12-08,2025-12-14,18.91,18532,Prepaid,Standard,2025-12-08 09:05:00,
L9257,W09,R02,C15,,Delivered,N,2025-12-08,2025-12-08,10.81,19423,Prepaid,Express,2025-12-08 09:08:00,
L7407,W22,R01,C12,989.53,Delivered,N,2025-12-08,2025-12-08,13.98,19295,COD,Standard,2025-12-08 09:12:00,
L7253,W32,R03,C08,4103.1,Delivered,Y,2025-12-08,2025-12-10,6.34,21129,Prepaid,Standard,2025-12-08 09:39:00,
L9992,W13,R08,C14,924.74,Delayed,Y,2025-12-08,2025-12-14,6.96,6650,COD,Standard,2025-12-08 09:41:00,
L8662,W23,R03,C05,1393.17,Delayed,Y,2025-12-08,2025-12-13,14.3,500,Prepaid,Express,2025-12-08 10:29:00,
L7894,W11,R07,C02,612.67,Delivered,Y,2025-12-08,2025-12-10,17.37,36571,Credit,Standard,2025-12-08 10:30:00,
L7085,W17,R08,C13,4941.2,Delayed,N,2025-12-08,2025-12-17,25.6,9926,Prepaid,Standard,2025-12-08 10:33:00,
L8581,W09,R02,C08,836.03,Delivered,N,2025-12-08,2025-12-13,2.37,26102,COD,Standard,2025-12-08 10:34:00,
L8652,W40,R03,C08,573.31,Delivered,N,2025-12-08,2025-12-13,22.98,14145,Prepaid,Standard,2025-12-08 10:39:00,
L9169,W38,R06,C04,482.27,Delivered,N,2025-12-08,2025-12-13,17.73,13973,Prepaid,Standard,2025-12-08 10:57:00,
L8870,W12,R04,C04,278.81,Delivered,N,2025-12-08,2025-12-10,13.21,14428,Prepaid,Standard,2025-12-08 10:57:00,
L8391,W25,R04,C05,1202.98,Delayed,N,2025-12-08,2025-12-13,19.93,11863,Prepaid,Standard,2025-12-08 11:08:00,
L9665,W22,R01,C02,904.79,Delayed,Y,2025-12-08,2025-12-14,12.83,11184,Prepaid,Express,2025-12-08 11:22:00,
